ProductID,ProductName,ProductBrand,Gender,Price (INR),NumImages,Description,PrimaryColor
10017413,dkny unisex black & grey printed medium trolley bag,dkny,unisex,11745,7,"black and grey printed medium trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketswarranty: 5 yearswarranty provided by brand owner / manufacturer",black
10016283,ethnovogue women beige & grey made to measure custom made kurta set with jacket,ethnovogue,women,5810,7,"beige & grey made to measure kurta with churidar and dupattabeige made to measure calf length kurta, has a v-neck, three-quarter sleeves, lightly padded on bust, flared hem, concealed zip closuregrey solid made to measure churidar, drawstring closuregrey net sequined dupatta, has printed tapingwhat is made to measure?customised kurta set according to your bust and length. so please refer to the size chart to pick your perfect size.how to measure bust?measure under your arms and around your chest to find your bust size in incheshow to measure kurta length?measure from shoulder till barefoot to find kurta length in",beige
10009781,spykar women pink alexa super skinny fit high-rise clean look stretchable cropped jeans,spykar,women,899,7,"pink coloured wash 5-pocket high-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",pink
10015921,raymond men blue self-design single-breasted bandhgala suit,raymond,men,5599,5,"blue self-design bandhgala suitblue self-design bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a double-vented back hemblue self-design mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops",blue
10017833,parx men brown & off-white slim fit printed casual shirt,parx,men,759,5,"brown and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",white
10014361,showoff men brown solid slim fit regular shorts,showoff,men,791,5,"brown solid low-rise regular shorts, has four pockets, a button closure",brown
10017869,parx men blue slim fit checked casual shirt,parx,men,719,5,"blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",blue
10009695,spykar women burgundy alexa super skinny fit high-rise clean look stretchable ankle jeans,spykar,women,899,7,"burgundy coloured wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",burgundy
10000571,parx men brown tapered fit solid regular trousers,parx,men,664,5,brown solid regular trousers regular trousers,red
10017421,dkny unisex black large trolley bag,dkny,unisex,17360,5,"black solid large trolley bag, secured with a tsa lockone handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsone main zip compartment, zip lining, two compression straps with click clasps and one zip pocketone exterior zip pocketwarranty: 5 yearswarranty provided by brand owner / manufacturer",black
10000911,kenneth cole women navy blue solid backpack,kenneth cole,women,2463,5,navy blue backpacknon-padded haul loop1 main compartment with zip closurepadded backzip pocketpadded shoulder strap: paddedwater-resistance: no,blue
